DATE,OBSERVING HOURS LOST
2017-05-01,8.3
2017-05-02,4.3
2017-05-03,0.08
2017-05-05,6.69
2017-05-06,6.69
2017-05-05,0.16
2017-05-09,0.33
2017-05-09,2
2017-05-10,2
2017-05-12,10
2017-05-12,3.75
2017-05-12,3
2017-05-12,2
2017-05-15,8.3
2017-05-14,5
2017-05-16,1
2017-05-17,8.3
2017-05-18,4
2017-05-19,0.33
2017-05-19,3
2017-05-29,0
2017-05-13,1.5
2017-05-19,1.5
2017-05-26,0.33
2017-05-26,0.33
2017-05-28,0.33
2017-05-29,8.3
2017-06-06,1
2017-06-08,8
2017-06-15,4.33
2017-06-19,0.33
2017-06-20,4
2017-06-22,8.33
2017-06-21,1.33
2017-06-26,8.33
2017-06-27,4
2017-06-27,8.33
2017-06-09,0.75
2017-06-09,2.25
2017-06-11,0
2017-06-12,0
2017-06-19,1
2017-06-17,1
2017-06-17,0.5
2017-06-28,8.33
2017-06-29,8.33
2017-07-03,8.33
2017-07-05,8.33
2017-07-07,0.33
2017-07-09,4.33
2017-07-12,8.33
2017-07-10,4.33
2017-07-13,8.33
2017-07-14,1.333333333
2017-07-15,1.333333333
2017-07-16,1.333333333
2017-07-08,2.5
2017-06-30,2.5
2017-06-15,0.25
2017-05-31,1.25
2017-07-18,4
2017-07-18,8
2017-07-19,1
2017-07-22,4.5
2017-07-23,4.5
2017-07-23,4
2017-07-25,8
2017-07-25,5
2017-07-26,4
2017-08-02,4
2017-08-04,3
2017-08-04,0.5
2017-07-20,4.5
2017-08-14,4.5
2017-08-18,4.33
2017-08-19,0.5
2017-08-23,4.33
2017-08-25,3
2017-08-29,8
2017-08-28,4
2017-07-25,3
2017-07-13,1
2017-07-09,1
2017-07-08,1
2017-07-07,1
2017-07-06,4
2017-07-03,1
2017-06-30,1
2017-06-21,5
2017-06-18,4
2017-06-13,1
2017-06-01,1
